project_name,location,location_map,location_match,location_corrected
Avida Towers Verte,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Two Central,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Avida Towers Prime Taft,"Pasay, Metro Manila","Barangay 36, Pasay, Metro Manila",TRUE,
Sage Residences,"Mandaluyong, Metro Manila","Mauway, Mandaluyong, Metro Manila",TRUE,
Avida Towers Turf,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
The Trion Towers II,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Coastal Luxury Residences,"Parañaque, Metro Manila","Tambo, Parañaque, Metro Manila",TRUE,
Greenbelt Chancellor,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
Kizuna Heights,"Pasay, Metro Manila","Malate, Manila, Metro Manila",FALSE,"Malate, Manila, Metro Manila"
Two Roxas Triangle,Metro Manila,"Urdaneta, Makati, Metro Manila",TRUE,
Coast Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
The Velaris Residences,Metro Manila,"Manggahan, Pasig, Metro Manila",TRUE,
Icon Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Allegra Garden Place,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
Alder Residences,"Taguig, Metro Manila","San Miguel, Taguig, Metro Manila",TRUE,
The Crestmont,Metro Manila,"South Triangle, Quezon City, Metro Manila",TRUE,
Cameron Residences,"Quezon City, Metro Manila","Mariblo, Quezon City, Metro Manila",TRUE,
Belize Oasis,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Shang Residences Wack Wack,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Valencia Hills,"Quezon City, Metro Manila","Valencia, Quezon City, Metro Manila",TRUE,
Siena Tower,"Pasay, Metro Manila","Marikina, Metro Manila",FALSE,"Marikina, Metro Manila"
The Capital Towers,"Quezon City, Metro Manila","Kalusugan, Quezon City, Metro Manila",TRUE,
The Residences at Greenbelt,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
The Residences at Bonifacio Civic Center,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
110 Benavidez,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
Southkey Place,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Woodsville Crest 3,"Parañaque, Metro Manila","Merville, Parañaque, Metro Manila",TRUE,
Regent Parkway,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Pacific Plaza Tower,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Arya Residences Tower 2,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Arya Residences Tower 1,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
The Linear,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
The Levels,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Studio City,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
One Sierra,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
The Hermosa,"Las Piñas, Metro Manila","Pulang Lupa Uno, Las Piñas, Metro Manila",TRUE,
Sands Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Mint Residences,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
Pine Crest Towers,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
Torre Lorenzo Malate,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Torre Lorenzo Loyola,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila",TRUE,
3Torre Lorenzo,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
South 2 Residences,"Las Piñas, Metro Manila","Almanza Uno, Las Piñas, Metro Manila",TRUE,
Acacia Escalades,"Pasig, Metro Manila","Manggahan, Pasig, Metro Manila",TRUE,
The Radiance Manila Bay – North Tower,"Pasay, Metro Manila","Barangay 2, Pasay, Metro Manila",TRUE,
"The Magnolia residences – Tower A, B, and C","Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila",TRUE,
The Magnolia residences – Tower D,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila",TRUE,
The Radiance Manila Bay – South Tower,"Pasay, Metro Manila","Barangay 2, Pasay, Metro Manila",TRUE,
The Sapphire Bloc – East Tower,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Acacia Escalades – Building B,"Pasig, Metro Manila","Manggahan, Pasig, Metro Manila",TRUE,
Gem Residences,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",TRUE,
Viento at Cerca,"Muntinlupa, Metro Manila","Almanza Dos, Las Piñas, Metro Manila",FALSE,"Almanza Uno, Las Piñas, Metro Manila"
Parkford Suites Legazpi,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
Park Cascades at Arca South,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila",TRUE,
Orean Place at Vertis North,"Quezon City, Metro Manila","Bagong Pag-Asa, Quezon City, Metro Manila",TRUE,
The Spectrum,"Pasig, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",FALSE,"Ortigas Center, Pasig, Metro Manila"
MidPark Towers,"Parañaque, Metro Manila","Baclaran, Parañaque, Metro Manila",TRUE,
The Arton,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila",TRUE,
Avida Towers Verge,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
La Vie Flats,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Hawthorne Heights,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila",TRUE,
Shore 3 Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
S Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Mergent Residences,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
The Lattice at Parklinks,"Pasig, Metro Manila","Ugong Norte, Quezon City, Metro Manila",FALSE,"Pasig, Metro Manila"
Avida Towers Cloverleaf,"Quezon City, Metro Manila","Balingasa, Quezon City, Metro Manila",TRUE,
Arbor Lanes,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila",TRUE,
Callisto 2,"Makati, Metro Manila","Carmona, Makati, Metro Manila",TRUE,
Garden Court,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila",TRUE,
Portico,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
Sentrove at Cloverleaf,"Quezon City, Metro Manila","Balingasa, Quezon City, Metro Manila",TRUE,
Palm Beach West,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Copeton Baysuites,"Parañaque, Metro Manila","Tambo, Parañaque, Metro Manila",TRUE,
Light 2 Residences,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila",TRUE,
Gold Residences,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila",TRUE,
South Beach Place,"Parañaque, Metro Manila","Tambo, Parañaque, Metro Manila",TRUE,
Cirrus,"Pasig, Metro Manila","Manggahan, Pasig, Metro Manila",TRUE,
Verde Spatial,"Quezon City, Metro Manila","Commonwealth, Quezon City, Metro Manila",TRUE,
Santorini at The Lakefront,"Muntinlupa, Metro Manila","Sucat, Muntinlupa, Metro Manila",TRUE,
Glam Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",TRUE,
Sail Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Leaf Residences,"Muntinlupa, Metro Manila","Tunasan, Muntinlupa, Metro Manila",TRUE,
Bloom Residences,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila",TRUE,
The Larsen Tower at East Bay Residences,"Muntinlupa, Metro Manila","Sucat, Muntinlupa, Metro Manila",TRUE,
Activa Flex,"Quezon City, Metro Manila","E. Rodriguez, Quezon City, Metro Manila",TRUE,
The Royalton at Capitol Commons,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
Maple at Verdant Towers,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",TRUE,
Red Residences,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Lush Residences,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
Vine Residences,"Quezon City, Metro Manila","San Bartolome, Quezon City, Metro Manila",TRUE,
Satori Residences,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",TRUE,
The Atherton,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila",TRUE,
The Imperium at Capitol Commons,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
The Connor at Greenhhills,"San Juan, Metro Manila","Little Baguio, San Juan, Metro Manila",TRUE,
Circulo Verde,"Quezon City, Metro Manila","Manggahan, Pasig, Metro Manila",FALSE,"Quezon City, Metro Manila"
Studio 7,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",TRUE,
Panglao Oasis,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
Maven,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
The Residences at Commonwealth Quezon City,"Quezon City, Metro Manila","Batasan Hills, Quezon City, Metro Manila",TRUE,
Trump Towers,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
The Milano Residences,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
Aurora Escalades_,"Quezon City, Metro Manila","San Roque, Quezon City, Metro Manila",TRUE,
Fairlane Residences,"Pasig, Metro Manila","Kapitolyo, Pasig, Metro Manila",TRUE,
12 Luxury Flats,"San Juan, Metro Manila","Little Baguio, San Juan, Metro Manila",TRUE,
Kai Garden Residences,"Mandaluyong, Metro Manila","Malamig, Mandaluyong, Metro Manila",TRUE,
Omni Gardens,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",TRUE,
The Olive Place,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",TRUE,
The Orabella,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
One Eastwood Avenue Tower 2,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
One Eastwood Avenue Tower 1,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
Calathea Place,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila",TRUE,
Palm Grove,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",TRUE,
The Residences at The Westin Manila Sonata Place,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",TRUE,
Sunshine 100 City Plaza,"Mandaluyong, Metro Manila","Buayang Bato, Mandaluyong, Metro Manila",TRUE,
Pacific Plaza Condominium,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
Mercedes Residences,"Pasig, Metro Manila","San Miguel, Pasig, Metro Manila",TRUE,
SMDC LIGHT RESIDENCE,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",TRUE,
Prisma Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
Bay Area Suites Condominium,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",TRUE,
Oak Harbor Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",TRUE,
INFINA TOWERS,"Quezon City, Metro Manila","Marilag, Quezon City, Metro Manila",TRUE,
LAKEVIEW MANORS,"Taguig, Metro Manila","Ususan, Taguig, Metro Manila",TRUE,
Brixton Place,"Pasig, Metro Manila","Kapitolyo, Pasig, Metro Manila",TRUE,
THE CELANDINE,"Quezon City, Metro Manila","Balingasa, Quezon City, Metro Manila",TRUE,
San francisco Garden Condominium,"Mandaluyong, Metro Manila","Barangka Itaas, Mandaluyong, Metro Manila",TRUE,
The Courtyard at the Pacific Residences,"Las Piñas, Metro Manila","Salawag, Dasmariñas, Cavite",FALSE,"Taguig, Metro Manila"
The Currency - Commercial and Office Units for Sale,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Melbourne Residences,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
The Trion Towers I,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
West Gallery Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Park Central Towers,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
Woodsville Viverde Mansions,"Parañaque, Metro Manila","Merville, Parañaque, Metro Manila",TRUE,
The Fifth Avenue Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Escalades South Metro,Metro Manila,"Salapan, San Juan, Metro Manila",TRUE,
Escalades @20th Avenue,"Quezon City, Metro Manila","San Roque, Quezon City, Metro Manila",TRUE,
Adriatico Place,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
"Asiana Oasis, Parañaque City","Parañaque, Metro Manila","Metro Manila, Parañaque",FALSE,"Parañaque, Metro Manila"
Chimes Greenhills,"San Juan, Metro Manila","Greenhills, San Juan, Metro Manila",TRUE,
Acacia Escalades,"Pasig, Metro Manila","Manggahan, Pasig, Metro Manila",TRUE,
Amaia Steps Bicutan 1,"Parañaque, Metro Manila","Sun Valley, Parañaque, Metro Manila",TRUE,
Amaia Steps Alabang,"Las Piñas, Metro Manila","Almanza Dos, Las Piñas, Metro Manila",TRUE,
Amaia Skies Sta. Mesa - South Tower,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",TRUE,
Amaia Skies Shaw - North Tower,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",TRUE,
Amaia Skies Cubao,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
Amaia Skies Avenida - North Tower,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",TRUE,
High Street South Block,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
The Suites at One Bonifacio High Street,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
One Serendra,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Avida Towers Vita,"Quezon City, Metro Manila","Metro Manila, Quezon City",FALSE,"Quezon City, Metro Manila"
Avida Towers Davao,Metro Manila,Metro Manila,TRUE,
One Park Drive,"Taguig, Metro Manila","Metro Manila, Taguig",FALSE,"Taguig, Metro Manila"
Greenbelt Hamilton 2,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
San Antonio Residence,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
Tres Palmas,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
Axis Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
Raya Gardens,"Parañaque, Metro Manila","Merville, Parañaque, Metro Manila",TRUE,
Alphaland Makati Place,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Icon Plaza,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
symfoni kamias,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",TRUE,
Manggahan Village,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
Fairways Tower,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Solano Hills Sucat,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Arezzo Place Pasig,"Pasig, Metro Manila","San Joaquin, Pasig, Metro Manila",TRUE,
ASIA Enclaves Alabang,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Flora Vista,"Quezon City, Metro Manila","Commonwealth, Quezon City, Metro Manila",TRUE,
San Benissa Garden,"Quezon City, Metro Manila","Pasong Putik Proper, Quezon City, Metro Manila",TRUE,
Spazio Bernardo West Villas,"Quezon City, Metro Manila","Gulod, Quezon City, Metro Manila",TRUE,
Sunny Villas,"Quezon City, Metro Manila","Gulod, Quezon City, Metro Manila",TRUE,
The Forbes Hall,"Manila, Metro Manila","Manila, Metro Manila",TRUE,
Shangri-La at The Fort,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
BRESCIA RESIDENCES,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
PINE CREST,"Quezon City, Metro Manila","Mariana, Quezon City, Metro Manila",TRUE,
PRESIDIO AT LAKEFRONT,"Muntinlupa, Metro Manila","Sucat, Muntinlupa, Metro Manila",TRUE,
Sonria,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
The Bellagio 2,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
Mckinley West Village,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
The Avenue Residences,"Quezon City, Metro Manila","Talipapa, Quezon City, Metro Manila",TRUE,
1322 Golden Empire Tower,"Manila, Metro Manila","Ermita, Manila, Metro Manila",TRUE,
Moldex Residences Valenzuela,"Manila, Metro Manila","Paso de Blas, Valenzuela, Metro Manila",FALSE,"Paso de Blas, Valenzuela, Metro Manila"
The Grand Towers Manila,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
One Shangri-La Place,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",TRUE,
The Saint Francis Shangri-la Place,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
Shang Salcedo Place,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
The Rise Makati By Shangrila,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
Hacienda Balai,"Quezon City, Metro Manila","Barangay 177, Quezon City, Metro Manila",TRUE,
La Nobleza Terrazas,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
The TREVI TOWERS,Metro Manila,"Tugatog, Malabon, Metro Manila",TRUE,
The Manila Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
dakotaresidences,Metro Manila,"Tugatog, Malabon, Metro Manila",TRUE,
Madison Park West,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
East of Galleria,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Shore 2 Residences,"Pasay, Metro Manila","Malate, Manila, Metro Manila",FALSE,"Pasay, Metro Manila"
The Royalton,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
Majorca Tower,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",TRUE,
Avila at Circulo Verde,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila",TRUE,
Lleida Tower,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila",TRUE,
Seville Residences,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila",TRUE,
Ibiza at Circulo Verde,"Quezon City, Metro Manila","Manggahan, Pasig, Metro Manila",FALSE,"Quezon City, Metro Manila"
Vinia Residences,"Quezon City, Metro Manila","Phil-Am, Quezon City, Metro Manila",TRUE,
Amaia Steps Nova,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
One Oasis Ortigas,"Pasig, Metro Manila","Santa Lucia, Pasig, Metro Manila",TRUE,
Solstice at Circuit Makati,"Makati, Metro Manila","Carmona, Makati, Metro Manila",TRUE,
High Park at Vertis North,"Quezon City, Metro Manila","Bagong Pag-Asa, Quezon City, Metro Manila",TRUE,
Park Triangle Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Avida Towers Intima,"Manila, Metro Manila","Metro Manila, Manila",FALSE,"Paco, Manila, Metro Manila"
One Antonio,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
Eight Wack Wack,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",TRUE,
Amvel Mansions,Metro Manila,"Tugatog, Malabon, Metro Manila",TRUE,
Elizabeth Place,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Grand Hamptons,"Taguig, Metro Manila","Forbes Park North, Makati, Metro Manila",FALSE,"Taguig, Metro Manila"
Dansalan Garden,"Mandaluyong, Metro Manila","Malamig, Mandaluyong, Metro Manila",TRUE,
Portovita Condominium,"Quezon City, Metro Manila","Socorro, Quezon City, Metro Manila",TRUE,
Sea Residences Tower A,"Pasay, Metro Manila","Barangay 97, Pasay, Metro Manila",TRUE,
